X_id,OFFENCE_YEAR,DIVISION,TICKET_TYPE,OFFENCE_CATEGORY,AGE_GROUP,HOOD_158,NEIGHBOURHOOD_158,TICKET_COUNT
100,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,19,Long Branch,1
101,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,33,Clanton Park,1
102,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,3,Thistletown-Beaumond Heights,1
103,2021,NSA,Prov Offence Summons Part Iii Form 104,Aggressive Driving,Adult,6,Kingsview Village-The Westway,1
104,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,28,Rustic,1
105,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,153,Avondale,1
106,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,11,Eringate-Centennial-West Deane,1
107,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,43,Victoria Village,1
108,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,46,Pleasant View,1
109,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,47,Don Valley Village,1
110,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,126,Dorset Park,1
111,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,39,Bedford Park-Nortown,1
112,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,20,Alderwood,1
113,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,38,Lansing-Westgate,1
114,2021,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,100,Yonge-Eglinton,1
115,2021,NSA,Prov Offence Summons Part Iii Form 104,Distracted Driving,Adult,40,St.Andrew-Windfields,1
116,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,123,Cliffcrest,1
117,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,44,Flemingdon Park,1
118,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,53,Henry Farm,1
119,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,87,High Park-Swansea,1
120,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,23,Pelmo Park-Humberlea,1
121,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,20,Alderwood,1
122,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,146,Malvern East,1
123,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,135,Morningside,1
124,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,134,Highland Creek,1
125,2021,NSA,Prov Offence Summons Part Iii Form 104,Distracted Driving,Adult,42,Banbury-Don Mills,1
126,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,22,Humbermede,1
127,2021,NSA,Prov Offence Summons Part Iii Form 104,Distracted Driving,Adult,38,Lansing-Westgate,1
128,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,62,East End-Danforth,1
129,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,141,Golfdale-Cedarbrae-Woburn,1
130,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,118,Tam O'Shanter-Sullivan,1
131,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,116,Steeles,1
132,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,31,Yorkdale-Glen Park,1
133,2021,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,145,Malvern West,1
134,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,85,South Parkdale,1
135,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,152,East Willowdale,1
136,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,86,Roncesvalles,1
137,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,128,Agincourt South-Malvern West,1
138,2021,NSA,Prov Offence Summons Part Iii Form 104,Aggressive Driving,Adult,24,Black Creek,1
139,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,118,Tam O'Shanter-Sullivan,1
140,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,31,Yorkdale-Glen Park,1
141,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,130,Milliken,1
142,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,98,Rosedale-Moore Park,1
143,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,21,Humber Summit,1
144,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,134,Highland Creek,1
145,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,148,East L'Amoreaux,1
146,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,41,Bridle Path-Sunnybrook-York Mills,1
147,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,98,Rosedale-Moore Park,1
148,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,142,Woburn North,1
149,2021,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,24,Black Creek,1
150,2021,NSA,Prov Offence Summons Part Iii Form 104,Aggressive Driving,Adult,27,York University Heights,1
151,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,33,Clanton Park,1
152,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,56,Leaside-Bennington,1
153,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,126,Dorset Park,1
154,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,148,East L'Amoreaux,1
155,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,153,Avondale,1
156,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,87,High Park-Swansea,1
157,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,144,Morningside Heights,1
158,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,152,East Willowdale,1
159,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,13,Etobicoke West Mall,1
160,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,122,Birchcliffe-Cliffside,1
161,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,130,Milliken,1
162,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,163,Fort York-Liberty Village,1
163,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,133,Centennial Scarborough,1
164,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,123,Cliffcrest,1
165,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,165,Harbourfront-CityPlace,1
166,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,170,Yonge-Bay Corridor,1
167,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,46,Pleasant View,1
168,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,98,Rosedale-Moore Park,1
169,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,113,Weston,1
170,2021,NSA,Prov Offence Summons Part Iii Form 104,Distracted Driving,Adult,29,Maple Leaf,1
171,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,128,Agincourt South-Malvern West,1
172,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,33,Clanton Park,1
173,2021,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,47,Don Valley Village,1
174,2021,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,22,Humbermede,1
175,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,35,Westminster-Branson,1
176,2021,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,12,Markland Wood,1
177,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,165,Harbourfront-CityPlace,1
178,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,27,York University Heights,1
179,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,141,Golfdale-Cedarbrae-Woburn,1
180,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,126,Dorset Park,1
181,2021,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,54,O'Connor-Parkview,1
182,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,102,Forest Hill North,1
183,2021,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,81,Trinity-Bellwoods,1
184,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,2,Mount Olive-Silverstone-Jamestown,1
185,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,48,Hillcrest Village,1
186,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,164,Wellington Place,1
187,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,123,Cliffcrest,1
188,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,134,Highland Creek,1
189,2021,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,52,Bayview Village,1
190,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,43,Victoria Village,1
191,2021,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,158,Islington,1
192,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,31,Yorkdale-Glen Park,1
193,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,102,Forest Hill North,1
194,2021,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,78,Kensington-Chinatown,1
195,2021,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,23,Pelmo Park-Humberlea,1
196,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,96,Casa Loma,1
197,2021,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,163,Fort York-Liberty Village,1
198,2021,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,152,East Willowdale,1
199,2021,NSA,Prov Offence Summons Part Iii Form 104,Aggressive Driving,Adult,166,St Lawrence-East Bayfront-The Islands,1
200,2021,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,52,Bayview Village,1
201,2023,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,5,Elms-Old Rexdale,1
202,2023,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,55,Thorncliffe Park,1
203,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,53,Henry Farm,1
204,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,43,Victoria Village,1
205,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,120,Clairlea-Birchmount,1
206,2023,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,37,Willowdale West,1
207,2023,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,22,Humbermede,1
208,2023,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,27,York University Heights,1
209,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,64,Woodbine Corridor,1
210,2020,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,161,Humber Bay Shores,1
211,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,49,Bayview Woods-Steeles,1
212,2020,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,20,Alderwood,1
213,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,111,Rockcliffe-Smythe,1
214,2020,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,150,Fenside-Parkwoods,1
215,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,160,Mimico-Queensway,1
216,2020,NSA,Prov Offence Summons Part Iii Form 104,Aggressive Driving,Adult,159,Etobicoke City Centre,1
217,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,23,Pelmo Park-Humberlea,1
218,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,53,Henry Farm,1
219,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,163,Fort York-Liberty Village,1
220,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,158,Islington,1
221,2020,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,111,Rockcliffe-Smythe,1
222,2020,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,126,Dorset Park,1
223,2020,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,105,Lawrence Park North,1
224,2020,NSA,Prov Offence Summons Part Iii Form 104,Distracted Driving,Adult,159,Etobicoke City Centre,1
225,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,102,Forest Hill North,1
226,2020,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,28,Rustic,1
227,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,119,Wexford/Maryvale,1
228,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,78,Kensington-Chinatown,1
229,2020,NSA,Prov Offence Summons Part Iii Form 104,Aggressive Driving,Adult,154,Oakdale-Beverley Heights,1
230,2020,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,118,Tam O'Shanter-Sullivan,1
231,2020,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,105,Lawrence Park North,1
232,2020,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,56,Leaside-Bennington,1
233,2020,NSA,Prov Offence Summons Part Iii Form 104,Aggressive Driving,Adult,70,South Riverdale,1
234,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,29,Maple Leaf,1
235,2020,NSA,Prov Offence Summons Part Iii Form 104,Distracted Driving,Adult,23,Pelmo Park-Humberlea,1
236,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,118,Tam O'Shanter-Sullivan,1
237,2020,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,163,Fort York-Liberty Village,1
238,2020,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,158,Islington,1
239,2020,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,57,Broadview North,1
240,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,166,St Lawrence-East Bayfront-The Islands,1
241,2020,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,47,Don Valley Village,1
242,2020,NSA,Prov Offence Summons Part Iii Form 104,Aggressive Driving,Adult,102,Forest Hill North,1
243,2020,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,126,Dorset Park,1
244,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,161,Humber Bay Shores,1
245,2020,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,2,Mount Olive-Silverstone-Jamestown,1
246,2020,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,57,Broadview North,1
247,2020,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,37,Willowdale West,1
248,2020,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,39,Bedford Park-Nortown,1
249,2020,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,58,Old East York,1
250,2020,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,11,Eringate-Centennial-West Deane,1
251,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,122,Birchcliffe-Cliffside,1
252,2023,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,47,Don Valley Village,1
253,2023,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,154,Oakdale-Beverley Heights,1
254,2023,NSA,Prov Offence Summons Part Iii Form 104,All CAIA,Adult,169,Bay-Cloverhill,1
255,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,153,Avondale,1
256,2023,NSA,Prov Offence Summons Part Iii Form 104,Aggressive Driving,Adult,163,Fort York-Liberty Village,1
257,2023,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,120,Clairlea-Birchmount,1
258,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,9,Edenbridge-Humber Valley,1
259,2023,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,101,Forest Hill South,1
260,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,148,East L'Amoreaux,1
261,2023,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,122,Birchcliffe-Cliffside,1
262,2023,NSA,Prov Offence Summons Part Iii Form 104,Distracted Driving,Adult,166,St Lawrence-East Bayfront-The Islands,1
263,2023,NSA,Prov Offence Summons Part Iii Form 104,Speeding,Adult,16,Stonegate-Queensway,1
264,2023,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,114,Lambton Baby Point,1
265,2023,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,12,Markland Wood,1
266,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,40,St.Andrew-Windfields,1
267,2023,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,57,Broadview North,1
268,2023,NSA,Prov Offence Summons Part Iii Form 104,Other HTA,Adult,18,New Toronto,1
